d000.s000.t000 bn:00028018n
d000.s014.t000 bn:00000903n
d000.s014.t001 bn:00006843n
d000.s014.t002 bn:00017102n
d000.s014.t003 bn:00011754n
d000.s014.t004 bn:00005518n
d000.s014.t005 bn:00083451v
d000.s014.t006 bn:00082705v
d000.s014.t007 bn:00001742n
d000.s014.t008 bn:00043544n
d000.s014.t009 bn:00080836n
d000.s015.t000 bn:00087734v
d000.s015.t001 bn:00114423r
d000.s015.t002 bn:00102467a
d000.s015.t003 bn:00014711n
d000.s015.t004 bn:00102230a
d000.s015.t005 bn:00046735n
d000.s015.t006 bn:00087617v
d000.s015.t007 bn:00044984n
d000.s016.t000 bn:00084079v
d000.s016.t001 bn:00032826n
d000.s016.t002 bn:00001742n
d000.s016.t003 bn:00085727v
d000.s016.t004 bn:00001507n
d000.s016.t005 bn:00035585n
d000.s016.t006 bn:00078802n
d000.s016.t007 bn:00080147n
d000.s016.t008 bn:00046786n
d000.s016.t009 bn:00004712n
d000.s016.t010 bn:00027523n
d000.s017.t000 bn:00087734v
d000.s017.t001 bn:00054134n
d000.s017.t002 bn:00088454v
d000.s017.t003 bn:00083115v
d000.s017.t004 bn:00035427n
d000.s017.t005 bn:00088454v
d000.s017.t006 bn:00025982n
d000.s017.t007 bn:00114246r
d000.s017.t008 bn:00087734v
d000.s017.t009 bn:00087734v
d000.s017.t010 bn:00114165r
d000.s017.t011 bn:00000903n
d000.s018.t000 bn:00027523n
d000.s018.t001 bn:00084853v
d000.s018.t002 bn:00083908v
d000.s018.t003 bn:00000903n
d000.s018.t004 bn:00090497v
d000.s018.t005 bn:00001742n
d000.s018.t006 bn:00011365n
d000.s018.t007 bn:00096160a
d000.s018.t008 bn:00088733v
d000.s018.t009 bn:00099480a
d000.s018.t010 bn:00108013a
d000.s018.t011 bn:00032826n
d000.s019.t000 bn:00116360r
d000.s019.t001 bn:00082418v
d000.s019.t002 bn:00030917n
d000.s019.t003 bn:00001742n
d000.s019.t004 bn:00106828a
d000.s019.t005 bn:00110471a
d000.s019.t006 bn:00049083n
d000.s019.t007 bn:00064527n
d000.s020.t000 bn:00106935a
d000.s020.t001 bn:00031060n
d000.s020.t002 bn:00093433v
d000.s020.t003 bn:00075142n
d000.s020.t004 bn:00016309n
d000.s020.t005 bn:00114246r
d000.s020.t006 bn:00022269n
d000.s022.t000 bn:00096388a
d000.s022.t001 bn:00074985n
d000.s022.t002 bn:00100866a
d000.s022.t003 bn:00054134n
d000.s022.t004 bn:00054134n
d000.s022.t005 bn:00090110v
d000.s022.t006 bn:00017031n
d000.s022.t007 bn:00087076v
d000.s022.t008 bn:00015187n
d000.s022.t009 bn:00083391v
d000.s022.t010 bn:00041943n
d000.s022.t011 bn:00004691n
d000.s023.t000 bn:00011754n
d000.s023.t001 bn:00085762v
d000.s023.t002 bn:00096388a
d000.s023.t003 bn:00035908n
d000.s023.t004 bn:00083103v
d000.s023.t005 bn:00001168n
d000.s023.t006 bn:00031085n
d000.s023.t007 bn:00082822v
d000.s023.t008 bn:00086013v
d000.s023.t009 bn:00008788n
d000.s023.t010 bn:00013727n
d000.s023.t011 bn:00026301n
d000.s023.t012 bn:00067714n
d000.s023.t013 bn:00103522a
d000.s023.t014 bn:00053804n
d000.s023.t015 bn:00017031n
d000.s024.t000 bn:00094501v
d000.s025.t000 bn:00027523n
d000.s025.t001 bn:00027523n
d000.s025.t002 bn:00108692a
d000.s025.t003 bn:00054512n
d000.s025.t004 bn:00094501v
d000.s025.t005 bn:00106327a
d000.s025.t006 bn:00074795n
d000.s025.t007 bn:00001742n
d000.s025.t008 bn:00116360r
d000.s025.t009 bn:00091603v
d000.s025.t010 bn:00018141n
d000.s025.t011 bn:00027546n
d000.s025.t012 bn:00027546n
d000.s026.t000 bn:00029874n
d000.s026.t001 bn:00020878n
d000.s026.t002 bn:00085453v
d000.s026.t003 bn:00114234r
d000.s027.t000 bn:00027523n
d000.s027.t001 bn:00017031n
d000.s027.t002 bn:00052343n
d000.s027.t003 bn:00029874n
d000.s027.t004 bn:00085453v
d000.s027.t005 bn:00097220a
d000.s027.t006 bn:00054134n
d000.s027.t007 bn:00074795n
d000.s027.t008 bn:00082822v
d000.s027.t009 bn:00001742n
d000.s027.t010 bn:00116146r
d000.s027.t011 bn:00096526a
d000.s027.t012 bn:00106664a
d000.s027.t013 bn:00027546n
d000.s027.t014 bn:00091603v
d000.s027.t015 bn:00018141n
d000.s027.t016 bn:00060927n
d000.s028.t000 bn:00114246r
d000.s028.t001 bn:00085453v
d000.s028.t002 bn:00097220a
d000.s028.t003 bn:00054134n
d000.s028.t004 bn:00020878n
d000.s028.t005 bn:00074795n
d000.s028.t006 bn:00082822v
d000.s028.t007 bn:00001742n
d000.s028.t008 bn:00116360r
d000.s028.t009 bn:00091603v
d000.s028.t010 bn:00018141n
d000.s028.t011 bn:00052343n
d000.s028.t012 bn:00060927n
d000.s029.t000 bn:00074795n
d000.s029.t001 bn:00106327a
d000.s029.t002 bn:00054021n
d000.s029.t003 bn:00029876n
d000.s029.t004 bn:00116154r
d000.s029.t005 bn:00001742n
d000.s029.t006 bn:00085382v
d000.s030.t000 bn:00009906n
d000.s030.t001 bn:00093686v
d000.s030.t002 bn:00074795n
d000.s031.t000 bn:00089667v
d000.s031.t001 bn:00075436n
d000.s031.t002 bn:00064472n
d000.s031.t003 bn:00001742n
d000.s031.t004 bn:00001742n
d000.s031.t005 bn:00108692a
d000.s031.t006 bn:00054512n
d000.s032.t000 bn:00001742n
d000.s032.t001 bn:00091603v
d000.s032.t002 bn:00085382v
d000.s032.t003 bn:00007449n
d000.s032.t004 bn:00055794n
d000.s032.t005 bn:00085453v
d000.s032.t006 bn:00055794n
d000.s032.t007 bn:00114234r
d000.s033.t000 bn:00027523n
d000.s033.t001 bn:00001742n
d000.s033.t002 bn:00017031n
d000.s033.t003 bn:00052343n
d000.s033.t004 bn:00114354r
d000.s033.t005 bn:00102043a
d000.s033.t006 bn:00114354r
d000.s034.t000 bn:00001742n
d000.s034.t001 bn:00091603v
d000.s034.t002 bn:00018141n
d000.s034.t003 bn:00060927n
d000.s034.t004 bn:00097855a
d000.s034.t005 bn:00075436n
d000.s034.t006 bn:00064472n
d000.s034.t007 bn:00055794n
d000.s034.t008 bn:00085453v
d000.s034.t009 bn:00055794n
d000.s035.t000 bn:00001742n
d000.s035.t001 bn:00116360r
d000.s035.t002 bn:00091603v
d000.s035.t003 bn:00018141n
d000.s035.t004 bn:00060927n
d000.s035.t005 bn:00097855a
d000.s035.t006 bn:00075436n
d000.s035.t007 bn:00064472n
d000.s035.t008 bn:00055794n
d000.s035.t009 bn:00041943n
d000.s036.t000 bn:00115698r
d000.s036.t001 bn:00074795n
d000.s036.t002 bn:00001742n
d000.s036.t003 bn:00015184n
d000.s036.t004 bn:00116360r
d000.s036.t005 bn:00082430v
d000.s036.t006 bn:00073708n
d000.s036.t007 bn:00088733v
d000.s036.t008 bn:00106125a
d000.s036.t009 bn:00075436n
d000.s036.t010 bn:00064472n
d000.s037.t000 bn:00022265n
d000.s037.t001 bn:00001742n
d000.s037.t002 bn:00015184n
d000.s037.t003 bn:00082430v
d000.s037.t004 bn:00073708n
d000.s037.t005 bn:00088733v
d000.s037.t006 bn:00110562a
d000.s037.t007 bn:00075436n
d000.s037.t008 bn:00064472n
d001.s000.t000 bn:00106492a
d001.s000.t001 bn:00083143v
d001.s000.t002 bn:00053491n
d001.s001.t000 bn:00116382r
d001.s001.t001 bn:00096152a
d001.s001.t002 bn:00085670v
d001.s001.t003 bn:00110651a
d001.s001.t004 bn:00059125n
d001.s001.t005 bn:00097495a
d001.s001.t006 bn:00000102n
d001.s001.t007 bn:00041412n
d001.s002.t000 bn:00114118r
d001.s002.t001 bn:00116360r
d001.s002.t002 bn:00107183a
d001.s002.t003 bn:00090147v
d001.s002.t004 bn:00082705v
d001.s003.t000 bn:00083143v
d001.s003.t001 bn:00041412n
d001.s004.t000 bn:00114055r
d001.s004.t001 bn:00091201v
d001.s004.t002 bn:00114424r
d001.s004.t003 bn:00082705v
d001.s004.t004 bn:00106058a
d001.s004.t005 bn:00106492a
d001.s004.t006 bn:00020452n
d001.s005.t000 bn:00115642r
d001.s005.t001 bn:00106327a
d001.s005.t002 bn:00081287n
d001.s006.t000 bn:00106327a
d001.s006.t001 bn:00081287n
d001.s007.t000 bn:00106327a
d001.s007.t001 bn:00081287n
d001.s007.t002 bn:00085657v
d001.s007.t003 bn:00022002n
d001.s007.t004 bn:00041412n
d001.s007.t005 bn:00000102n
d001.s007.t006 bn:00041412n
d001.s007.t007 bn:00026967n
d001.s008.t000 bn:00114401r
d001.s008.t001 bn:00086708v
d001.s008.t002 bn:00046850n
d001.s008.t003 bn:00034266n
d001.s008.t004 bn:00095296v
d001.s008.t005 bn:00036826n
d001.s008.t006 bn:00085334v
d001.s008.t007 bn:00014690n
d001.s009.t000 bn:00095629v
d001.s009.t001 bn:00087571v
d001.s009.t002 bn:00087128v
d001.s009.t003 bn:00098275a
d001.s009.t004 bn:00076928n
d001.s009.t005 bn:00085334v
d001.s009.t006 bn:00092442v
d001.s009.t007 bn:00046850n
d001.s009.t008 bn:00085762v
d001.s009.t009 bn:00116360r
d001.s009.t010 bn:00107183a
d001.s009.t011 bn:00090147v
d001.s010.t000 bn:00083143v
d001.s010.t001 bn:00114508r
d001.s010.t002 bn:00021164n
d001.s010.t003 bn:00116360r
d001.s010.t004 bn:00103939a
d001.s011.t000 bn:00083451v
d001.s011.t001 bn:00114748r
d001.s011.t002 bn:00082690v
d001.s011.t003 bn:00117559r
d001.s011.t004 bn:00096782a
d001.s012.t000 bn:00001276n
d001.s012.t001 bn:00055233n
d001.s012.t002 bn:00056300n
d001.s012.t003 bn:00027911n
d001.s013.t000 bn:00008639n
d001.s013.t001 bn:00082705v
d001.s014.t000 bn:00114246r
d001.s014.t001 bn:00108830a
d001.s014.t002 bn:00082705v
d001.s015.t000 bn:00008639n
d001.s015.t001 bn:00033729n
d001.s015.t002 bn:00085670v
d001.s015.t003 bn:00068249n
d001.s015.t004 bn:00115274r
d001.s016.t000 bn:00033729n
d001.s016.t001 bn:00086468v
d001.s016.t002 bn:00098761a
d001.s016.t003 bn:00079583n
d001.s016.t004 bn:00036826n
d001.s017.t000 bn:00082705v
d001.s017.t001 bn:00086468v
d001.s017.t002 bn:00104163a
d001.s017.t003 bn:00004489n
d001.s018.t000 bn:00060753n
d001.s018.t001 bn:00086708v
d001.s018.t002 bn:00036826n
d001.s018.t003 bn:00084855v
d001.s018.t004 bn:00059143n
d001.s019.t000 bn:00095141v
d001.s019.t001 bn:00059143n
d001.s019.t002 bn:00116360r
d001.s019.t003 bn:00095141v
d001.s019.t004 bn:00028884n
d001.s019.t005 bn:00036826n
d001.s020.t000 bn:00082705v
d001.s020.t001 bn:00086464v
d001.s020.t002 bn:00079511n
d001.s021.t000 bn:00021644n
d001.s021.t001 bn:00025929n
d001.s022.t000 bn:00033729n
d001.s022.t001 bn:00086464v
d001.s022.t002 bn:00100214a
d001.s022.t003 bn:00059125n
d001.s023.t000 bn:00089648v
d001.s023.t001 bn:00021644n
d001.s023.t002 bn:00082705v
d001.s023.t003 bn:00021644n
d001.s023.t004 bn:00116450r
d001.s023.t005 bn:00112148a
d001.s023.t006 bn:00086708v
d001.s023.t007 bn:00021644n
d001.s023.t008 bn:00087550v
d001.s023.t009 bn:00105744a
d001.s023.t010 bn:00032099n
d001.s025.t000 bn:00082705v
d001.s025.t001 bn:00086464v
d001.s026.t000 bn:00114714r
d001.s026.t001 bn:00113456a
d001.s026.t002 bn:00087128v
d001.s027.t000 bn:00114424r
d001.s027.t001 bn:00082820v
d001.s027.t002 bn:00028884n
d001.s028.t000 bn:00101973a
d001.s028.t001 bn:00091179v
d001.s028.t002 bn:00036826n
d001.s028.t003 bn:00022957n
d001.s028.t004 bn:00043605n
d001.s028.t005 bn:00108013a
d001.s028.t006 bn:00112111a
d001.s028.t007 bn:00036826n
d001.s028.t008 bn:00003601n
d001.s028.t009 bn:00016309n
d001.s029.t000 bn:00116360r
d001.s029.t001 bn:00085860v
d001.s029.t002 bn:00035907n
d001.s030.t000 bn:00082705v
d001.s030.t001 bn:00001296n
d001.s030.t002 bn:00056300n
d001.s030.t003 bn:00089247v
d001.s030.t004 bn:00059143n
d001.s031.t000 bn:00113456a
d001.s032.t000 bn:00117260r
d001.s032.t001 bn:00089247v
d001.s032.t002 bn:00046300n
d001.s032.t003 bn:00079583n
d001.s033.t000 bn:00088205v
d001.s033.t001 bn:00090268v
d001.s033.t002 bn:00082553v
d001.s033.t003 bn:00079511n
d001.s033.t004 bn:00116054r
d001.s033.t005 bn:00033729n
d001.s033.t006 bn:00088310v
d001.s033.t007 bn:00051830n
d001.s034.t000 bn:00064472n
d001.s034.t001 bn:00087662v
d001.s034.t002 bn:00032392n
d001.s034.t003 bn:00079583n
d001.s034.t004 bn:00079511n
d001.s034.t005 bn:00082553v
d001.s034.t006 bn:00105744a
d001.s034.t007 bn:00067406n
d001.s035.t000 bn:00107275a
d001.s035.t001 bn:00081287n
d001.s036.t000 bn:00051830n
d001.s037.t000 bn:00051830n
d001.s038.t000 bn:00087820v
d001.s038.t001 bn:00026980n
d001.s038.t002 bn:00034424n
d001.s038.t003 bn:00114819r
d001.s039.t000 bn:00100569a
d001.s039.t001 bn:00095629v
d001.s039.t002 bn:00086464v
d001.s039.t003 bn:00050967n
d001.s039.t004 bn:00092916v
d001.s039.t005 bn:00108952a
d001.s039.t006 bn:00011767n
d001.s040.t000 bn:00093279v
d001.s041.t000 bn:00093279v
d001.s041.t001 bn:00026980n
d001.s041.t002 bn:00095296v
d001.s041.t003 bn:00083341v
d001.s041.t004 bn:00096154a
d001.s041.t005 bn:00092558v
d001.s042.t000 bn:00083336v
d001.s042.t001 bn:00028018n
d001.s042.t002 bn:00101973a
d001.s042.t003 bn:00084308v
d001.s042.t004 bn:00082705v
d001.s042.t005 bn:00076736n
d001.s043.t000 bn:00093279v
d001.s043.t001 bn:00051830n
d001.s044.t000 bn:00093279v
d001.s044.t001 bn:00051830n
d001.s044.t002 bn:00067406n
d001.s044.t003 bn:00045087n
d001.s044.t004 bn:00096154a
d001.s044.t005 bn:00089639v
d001.s044.t006 bn:00092123v
d001.s045.t000 bn:00088475v
d001.s046.t000 bn:00064646n
d001.s046.t001 bn:00115112r
d001.s047.t000 bn:00082322v
d001.s047.t001 bn:00107275a
d001.s047.t002 bn:00041412n
d001.s047.t003 bn:00085334v
d001.s047.t004 bn:00083914v
d001.s047.t005 bn:00041412n
d001.s047.t006 bn:00082322v
d001.s047.t007 bn:00082322v
d001.s047.t008 bn:00107275a
d001.s047.t009 bn:00036826n
d001.s048.t000 bn:00117251r
d001.s048.t001 bn:00035565n
d001.s048.t002 bn:00046850n
d001.s048.t003 bn:00076732n
d001.s048.t004 bn:00012533n
d001.s048.t005 bn:00095296v
d001.s048.t006 bn:00036826n
d001.s049.t000 bn:00095629v
d001.s049.t001 bn:00082705v
d001.s049.t002 bn:00112217a
d001.s049.t003 bn:00116360r
d001.s049.t004 bn:00107183a
d001.s049.t005 bn:00086468v
d001.s050.t000 bn:00087662v
d001.s050.t001 bn:00036826n
d001.s050.t002 bn:00096817a
d001.s050.t003 bn:00087014v
d001.s050.t004 bn:00041412n
d001.s050.t005 bn:00106327a
d001.s050.t006 bn:00081287n
d001.s051.t000 bn:00082781v
d001.s051.t001 bn:00110470a
d001.s051.t002 bn:00041412n
d001.s051.t003 bn:00110076a
d001.s051.t004 bn:00061746n
d001.s052.t000 bn:00116054r
d001.s052.t001 bn:00082705v
d001.s052.t002 bn:00082322v
d001.s052.t003 bn:00046300n
d001.s052.t004 bn:00055439n
d001.s053.t000 bn:00082781v
d001.s053.t001 bn:00041412n
d001.s053.t002 bn:00020726n
d002.s000.t000 bn:00023654n
d002.s000.t001 bn:00116085r
d002.s000.t002 bn:00082822v
d002.s000.t003 bn:00086870v
d002.s000.t004 bn:00021723n
d002.s000.t005 bn:00086337v
d002.s000.t006 bn:00086337v
d002.s000.t007 bn:00017561n
d002.s001.t000 bn:00060799n
d002.s001.t001 bn:00106327a
d002.s001.t002 bn:00047082n
d002.s001.t003 bn:00082410v
d002.s001.t004 bn:00082755v
d002.s001.t005 bn:00047688n
d002.s001.t006 bn:00036823n
d002.s001.t007 bn:00099258a
d002.s001.t008 bn:00001176n
d002.s001.t009 bn:00082370v
d002.s001.t010 bn:00109212a
d002.s001.t011 bn:00007293n
d002.s001.t012 bn:00110847a
d002.s001.t013 bn:00113672a
d002.s001.t014 bn:00010584n
d002.s001.t015 bn:00059480n
d002.s001.t016 bn:00114246r
d002.s001.t017 bn:00007427n
d002.s001.t018 bn:00028884n
d002.s002.t000 bn:00114784r
d002.s002.t001 bn:00102920a
d002.s002.t002 bn:00016402n
d002.s002.t003 bn:00082233v
d002.s002.t004 bn:00006997n
d002.s002.t005 bn:00082822v
d002.s002.t006 bn:00028884n
d002.s002.t007 bn:00007427n
d002.s002.t008 bn:00062795n
d002.s002.t009 bn:00047388n
d002.s002.t010 bn:00007427n
d002.s002.t011 bn:00064921n
d002.s002.t012 bn:00086708v
d002.s002.t013 bn:00116285r
d002.s002.t014 bn:00100096a
d002.s003.t000 bn:00058148n
d002.s003.t001 bn:00114246r
d002.s003.t002 bn:00017659n
d002.s003.t003 bn:00101348a
d002.s003.t004 bn:00036823n
d002.s003.t005 bn:00091717v
d002.s003.t006 bn:00109212a
d002.s003.t007 bn:00031801n
d002.s004.t000 bn:00023654n
d002.s004.t001 bn:00102440a
d002.s004.t002 bn:00017793n
d002.s004.t003 bn:00110978a
d002.s004.t004 bn:00055181n
d002.s004.t005 bn:00110847a
d002.s004.t006 bn:00001739n
d002.s004.t007 bn:00109624a
d002.s004.t008 bn:00041192n
d002.s004.t009 bn:00102440a
d002.s004.t010 bn:00021723n
d002.s004.t011 bn:00110847a
d002.s004.t012 bn:00030015n
d002.s004.t013 bn:00106333a
d002.s004.t014 bn:00017561n
d002.s004.t015 bn:00109212a
d002.s004.t016 bn:00031801n
d002.s004.t017 bn:00007427n
d002.s005.t000 bn:00023654n
d002.s005.t001 bn:00116085r
d002.s005.t002 bn:00092023v
d002.s005.t003 bn:00100122a
d002.s005.t004 bn:00074795n
d002.s005.t005 bn:00022269n
d002.s005.t006 bn:00064665n
d002.s005.t007 bn:00082854v
d002.s005.t008 bn:00032426n
d002.s005.t009 bn:00101420a
d002.s005.t010 bn:00047388n
d002.s005.t011 bn:00089511v
d002.s005.t012 bn:00081568n
d002.s005.t013 bn:00089667v
d002.s005.t014 bn:00037027n
d002.s006.t000 bn:00074795n
d002.s006.t001 bn:00083143v
d002.s006.t002 bn:00083143v
d002.s006.t003 bn:00047238n
d002.s006.t004 bn:00096644a
d002.s006.t005 bn:00036837n
d002.s006.t006 bn:00110847a
d002.s006.t007 bn:00032099n
d002.s006.t008 bn:00107141a
d002.s006.t009 bn:00025965n
d002.s006.t010 bn:00059480n
d002.s006.t011 bn:00095923a
d002.s006.t012 bn:00102440a
d002.s006.t013 bn:00005513n
d002.s007.t000 bn:00104682a
d002.s007.t001 bn:00104998a
d002.s007.t002 bn:00070210n
d002.s007.t003 bn:00002936n
d002.s007.t004 bn:00027133n
d002.s007.t005 bn:00008412n
d002.s007.t006 bn:00070210n
d002.s007.t007 bn:00114246r
d002.s007.t008 bn:00082370v
d002.s008.t000 bn:00073171n
d002.s008.t001 bn:00110847a
d002.s008.t002 bn:00030015n
d002.s008.t003 bn:00021723n
d002.s008.t004 bn:00050525n
d002.s008.t005 bn:00067814n
d002.s008.t006 bn:00030625n
d002.s008.t007 bn:00104998a
d002.s008.t008 bn:00025569n
d002.s008.t009 bn:00072527n
d002.s008.t010 bn:00011651n
d002.s008.t011 bn:00102440a
d002.s008.t012 bn:00017793n
d002.s008.t013 bn:00104166a
d002.s008.t014 bn:00019284n
d002.s008.t015 bn:00054278n
d002.s008.t016 bn:00102440a
d002.s008.t017 bn:00033643n
d002.s008.t018 bn:00079435n
d002.s008.t019 bn:00102440a
d002.s008.t020 bn:00033643n
d002.s008.t021 bn:00102001a
d002.s008.t022 bn:00110847a
d002.s008.t023 bn:00019284n
d002.s009.t000 bn:00016434n
d002.s009.t001 bn:00107141a
d002.s009.t002 bn:00000739n
d002.s009.t003 bn:00082785v
d002.s009.t004 bn:00063675n
d002.s009.t005 bn:00034797n
d002.s009.t006 bn:00091982v
d002.s009.t007 bn:00046997n
d002.s009.t008 bn:00063991n
d002.s009.t009 bn:00082573v
d002.s009.t010 bn:00030933n
d002.s009.t011 bn:00012992n
d002.s009.t012 bn:00026695n
d002.s009.t013 bn:00082449v
d002.s009.t014 bn:00001177n
d002.s009.t015 bn:00081568n
d002.s009.t016 bn:00062702n
d002.s009.t017 bn:00010584n
d002.s010.t000 bn:00005513n
d002.s010.t001 bn:00034797n
d002.s010.t002 bn:00084931v
d002.s010.t003 bn:00102794a
d002.s010.t004 bn:00025827n
d002.s010.t005 bn:00016434n
d002.s011.t000 bn:00016434n
d002.s011.t001 bn:00082599v
d002.s011.t002 bn:00007771n
d002.s011.t003 bn:00034797n
d002.s011.t004 bn:00046066n
d002.s011.t005 bn:00030625n
d002.s011.t006 bn:00035908n
d002.s011.t007 bn:00011767n
d002.s011.t008 bn:00001423n
d002.s011.t009 bn:00082854v
d002.s011.t010 bn:00009906n
d002.s011.t011 bn:00064527n
d002.s011.t012 bn:00034797n
d002.s012.t000 bn:00080111n
d002.s012.t001 bn:00047238n
d002.s012.t002 bn:00099258a
d002.s012.t003 bn:00061744n
d002.s012.t004 bn:00114246r
d002.s012.t005 bn:00082906v
d002.s013.t000 bn:00107141a
d002.s013.t001 bn:00074795n
d002.s013.t002 bn:00088492v
d002.s013.t003 bn:00008870n
d002.s013.t004 bn:00102440a
d002.s013.t005 bn:00000739n
d002.s013.t006 bn:00094713v
d002.s013.t007 bn:00108084a
d002.s013.t008 bn:00063991n
d002.s014.t000 bn:00000739n
d002.s014.t001 bn:00016435n
d002.s014.t002 bn:00034797n
d002.s014.t003 bn:00092023v
d002.s014.t004 bn:00092116v
d002.s014.t005 bn:00021723n
d002.s014.t006 bn:00091979v
d002.s014.t007 bn:00007406n
d002.s015.t000 bn:00023654n
d002.s015.t001 bn:00082485v
d002.s015.t002 bn:00087138v
d002.s015.t003 bn:00017764n
d002.s015.t004 bn:00001940n
d002.s015.t005 bn:00008715n
d002.s015.t006 bn:00015477n
d002.s015.t007 bn:00030933n
d002.s015.t008 bn:00012992n
d002.s015.t009 bn:00082599v
d002.s015.t010 bn:00016403n
d002.s016.t000 bn:00051351n
d002.s016.t001 bn:00110847a
d002.s016.t002 bn:00114246r
d002.s016.t003 bn:00087731v
d002.s016.t004 bn:00108298a
d002.s016.t005 bn:00007024n
d002.s016.t006 bn:00091498v
d002.s016.t007 bn:00064777n
d002.s016.t008 bn:00092786v
d002.s016.t009 bn:00001940n
d002.s016.t010 bn:00008715n
d002.s017.t000 bn:00117283r
d002.s017.t001 bn:00064665n
d002.s017.t002 bn:00082854v
d002.s017.t003 bn:00034797n
d002.s017.t004 bn:00109212a
d002.s017.t005 bn:00109028a
d002.s017.t006 bn:00070210n
d002.s017.t007 bn:00001940n
d002.s017.t008 bn:00008715n
d002.s017.t009 bn:00115236r
d002.s017.t010 bn:00107787a
d002.s017.t011 bn:00001177n
d002.s018.t000 bn:00093454v
d002.s018.t001 bn:00003132n
d002.s018.t002 bn:00101940a
d002.s018.t003 bn:00067458n
d002.s018.t004 bn:00066746n
d002.s018.t005 bn:00064665n
d002.s018.t006 bn:00114714r
d002.s018.t007 bn:00085522v
d002.s018.t008 bn:00067433n
d002.s018.t009 bn:00092717v
d002.s018.t010 bn:00092954v
d002.s018.t011 bn:00107787a
d002.s018.t012 bn:00001177n
